Agents; Solved; Average Actions; SD(Actions); Average Runtime; SD(Runtime); Average Efficiency; SD(Efficiency)
agm-6, mac;  0.73;  32.07;  9.45;  2.917;  3.219;  25.1180;  17.5039
mac, agm-6;  0.63;  27.03;  7.04;  4.032;  7.619;  26.4963;  19.7742
bd, mac;  0.70;  30.69;  6.69;  483.607;  341.592;  0.1009;  0.0770
mac, bd;  0.70;  29.67;  7.73;  545.712;  414.288;  0.1217;  0.1264
agm-6, bd;  0.92;  34.27;  10.03;  765.762;  694.631;  0.1297;  0.1683
bd, agm-6;  0.98;  30.53;  8.98;  588.944;  476.927;  0.1226;  0.1365
